sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
94,99,03,1876.95,636.1,1787.57,1.36
24,28,03,1388.7,826.24,1223.46,1.64
44,55,01,2189.53,918.03,2025.89,1.47
41,85,01,3284.25,1680.69,3012.89,1.46
47,25,01,817.15,517.33,705.39,1.72
27,63,01,1899.02,1461.49,1568.13,1.78
102,107,02,552.31,516.53,335.72,3.3
45,45,01,570.89,780.6,310.86,3.06
95,89,03,1331.55,980.88,1134.32,1.7
106,9,03,1991.57,1079.3,1760.66,1.62
25,83,01,1389.11,826.59,1205.0,1.68
48,15,01,1017.12,688.54,870.29,1.7
96,79,03,1035.25,651.49,896.52,1.67
95,100,01,1654.62,1304.26,1285.72,2.06
25,18,03,2836.48,825.43,2734.11,1.3
46,35,01,118.86,242.57,46.98,3.9
99,49,03,1856.95,1023.68,1637.22,1.64
19,60,03,1205.93,702.53,1057.81,1.66
26,73,01,404.19,326.61,348.38,1.61
17,80,03,1733.57,703.79,1602.5,1.55
70,28,02,1869.92,720.2,1761.25,1.4
71,18,02,2355.47,939.68,2203.74,1.43
40,95,01,2434.52,1131.62,2202.56,1.56
60,84,01,912.07,772.59,700.56,2.08
66,24,01,1467.29,885.82,1317.8,1.51
65,34,01,2172.89,1066.94,1977.15,1.53
64,44,01,2592.39,1161.31,2389.38,1.48
64,42,03,955.23,649.99,777.18,1.94
43,65,01,1459.51,836.99,1274.48,1.67
62,64,01,1259.46,824.63,1087.0,1.67
84,101,02,491.14,540.66,330.82,2.33
60,82,03,1220.11,749.51,1071.13,1.62
67,12,03,2701.25,781.76,2604.37,1.3
42,75,01,1414.11,1106.67,1149.48,1.87
61,72,03,1189.56,691.08,1044.72,1.64
66,22,03,1130.62,655.17,999.33,1.6
11,10,01,1767.71,924.98,1620.49,1.48
2,100,01,2903.48,1184.61,2706.6,1.44
32,65,03,3033.57,1449.12,2742.59,1.58
26,106,01,1999.3,1055.39,1794.4,1.58
81,16,03,2181.33,594.73,2110.27,1.29
46,102,03,1954.4,1041.77,1774.17,1.51
35,35,03,504.06,779.3,226.89,3.33
80,26,03,1126.25,882.34,955.58,1.68
65,32,03,2519.74,1079.9,2335.97,1.46
107,50,03,1059.8,841.2,823.57,2.02
106,60,03,1271.45,986.06,963.75,2.12
104,80,03,1962.18,977.1,1800.95,1.48
60,38,02,1627.86,857.94,1463.37,1.57
33,55,03,1375.29,615.18,1250.22,1.55
86,7,01,2025.32,1147.61,1783.78,1.64
85,6,03,2640.33,1064.63,2470.3,1.42
59,99,02,2230.47,711.14,2138.92,1.32
103,90,03,1025.16,586.8,898.03,1.68
61,28,02,2093.59,998.48,1898.83,1.54
99,95,02,1292.53,781.78,1106.9,1.74
31,75,03,1732.05,813.91,1594.77,1.48
2,11,03,1439.09,823.38,1223.77,1.81
22,93,03,794.14,504.65,717.21,1.49
87,89,02,1865.51,1008.71,1670.47,1.57
88,79,02,428.15,452.86,323.74,1.95
28,33,03,1117.96,505.5,1021.63,1.52
25,107,01,1860.87,1302.65,1505.62,1.91
1,22,02,1702.03,857.79,1508.12,1.69
25,63,03,1545.92,725.14,1415.11,1.5
2,12,02,1769.29,1024.53,1506.32,1.83
53,63,02,489.6,575.6,368.1,1.93
26,53,03,1441.11,971.42,1191.29,1.85
89,69,02,1787.23,1230.12,1506.83,1.75
27,43,03,2051.81,894.0,1901.86,1.46
86,99,02,747.22,595.14,618.91,1.77
34,45,03,2354.17,920.09,2205.94,1.44
24,73,03,421.16,307.6,373.26,1.53
50,93,02,1675.24,1041.41,1461.92,1.64
41,48,02,3061.97,1439.27,2777.5,1.54
36,25,03,2238.05,1055.13,2053.62,1.49
40,58,02,1286.48,606.5,1171.06,1.54
99,96,01,1014.21,668.53,860.74,1.76
43,28,02,922.89,532.2,804.14,1.68
83,101,03,845.81,658.84,693.16,1.82
42,38,02,2670.23,1412.88,2408.15,1.53
54,53,02,2126.55,723.41,2026.88,1.35
30,85,03,1960.42,981.9,1766.94,1.56
48,22,03,985.56,678.92,835.05,1.73
46,42,03,159.75,253.57,94.08,2.41
58,13,02,1691.75,776.76,1546.8,1.52
2,5,03,1463.31,771.17,1329.59,1.52
42,82,03,372.03,380.22,298.69,1.75
37,15,03,1195.61,689.27,1038.94,1.71
49,12,03,855.17,506.3,741.47,1.75
55,43,02,2853.29,1169.74,2655.41,1.45
44,62,03,1704.51,1017.37,1502.49,1.6
43,72,03,2048.32,1059.58,1846.31,1.55
46,43,02,2411.22,1154.34,2209.16,1.49
49,13,02,2301.57,954.43,2133.37,1.47
70,29,01,1451.83,693.22,1328.25,1.56
71,19,01,2371.69,973.3,2217.35,1.42
42,83,02,1141.08,705.95,989.41,1.69
13,2,01,2536.85,819.25,2418.65,1.36
41,92,03,1832.17,763.38,1703.02,1.46
83,103,01,2047.59,799.91,1928.67,1.39
73,103,02,2620.11,1064.45,2402.16,1.63
47,32,03,3186.39,925.97,3051.28,1.35
41,93,02,1083.46,498.96,991.35,1.52
45,53,02,269.43,341.01,161.01,2.87
43,73,02,2655.88,1112.11,2479.47,1.43
80,53,03,1075.77,754.33,895.71,1.84
84,13,03,1701.93,858.7,1538.56,1.54
82,33,03,990.41,578.82,872.88,1.61
81,43,03,1481.16,952.87,1291.1,1.64
104,64,01,2644.77,1099.53,2459.12,1.45
103,74,01,1247.47,335.56,1202.74,1.31
106,44,01,1712.24,1010.05,1494.18,1.65
102,84,01,924.55,641.63,754.41,1.9
86,30,02,1464.04,898.55,1258.03,1.73
70,107,01,1928.71,758.77,1802.62,1.43
84,50,02,842.04,728.75,653.43,1.99
79,5,01,2186.79,1005.4,1994.55,1.52
101,94,01,1313.21,746.43,1143.92,1.72
85,40,02,1263.5,699.53,1116.32,1.64
107,34,01,2188.4,1112.03,1981.29,1.54
45,44,02,1560.24,851.08,1394.85,1.58
40,94,02,1796.97,824.27,1633.26,1.61
80,36,02,945.66,547.19,843.62,1.58
44,54,02,806.7,582.74,593.14,2.47
82,70,02,2687.11,969.03,2532.07,1.41
41,84,02,2542.9,1110.84,2328.2,1.52
81,26,02,1668.7,1039.14,1457.16,1.64
48,14,02,3917.69,1886.46,3527.34,1.57
25,106,02,2065.51,1340.14,1698.72,1.88
82,16,02,1626.37,485.08,1562.09,1.32
47,24,02,2246.67,1018.79,2068.9,1.48
83,60,02,1302.11,966.18,1041.42,1.97
94,101,01,1388.74,756.58,1236.73,1.62
67,7,02,3628.41,971.63,3504.29,1.3
80,90,02,1850.11,956.8,1646.28,1.62
93,8,02,2365.38,850.8,2238.58,1.38
79,88,02,386.12,359.78,314.53,1.75
46,34,02,938.69,561.86,832.59,1.62
51,48,01,1668.13,882.87,1530.48,1.47
50,58,01,1847.64,921.62,1687.49,1.49
81,80,02,487.59,396.39,410.9,1.73
52,38,01,454.88,293.45,404.65,1.58
43,64,02,2744.49,1257.42,2522.5,1.48
53,28,01,1037.26,749.79,871.54,1.79
88,10,02,2463.04,1156.74,2247.54,1.51
48,101,02,1436.27,905.53,1246.39,1.67
10,3,03,1926.26,635.18,1841.79,1.34
63,71,02,321.02,447.64,123.17,4.31
65,51,02,1710.9,1029.87,1531.3,1.55
64,61,02,784.54,592.06,598.22,2.25
69,11,02,1042.0,505.46,950.67,1.51
80,19,01,1986.69,1011.08,1799.41,1.53
17,106,01,2610.44,793.36,2503.29,1.33
103,72,03,2137.25,832.77,2024.37,1.37
107,32,03,2592.19,1209.01,2375.19,1.5
100,84,03,1185.26,981.56,866.75,2.3
102,64,03,1715.09,831.08,1559.47,1.53
103,54,03,1476.74,771.15,1328.27,1.55
91,102,03,441.96,403.31,301.7,2.73
58,101,01,1809.18,775.4,1677.18,1.46
61,91,02,2137.26,897.95,1999.06,1.42
106,42,03,1931.69,1013.92,1734.46,1.57
106,24,03,2190.91,953.07,2014.01,1.5
102,82,03,1449.79,760.96,1306.61,1.55
62,81,02,691.65,454.89,602.58,1.65
104,44,03,2653.91,838.98,2532.81,1.35
101,92,03,649.82,578.3,508.73,1.96
107,14,03,2525.54,982.16,2366.64,1.42
44,106,01,2169.73,1154.78,1927.23,1.62
104,62,03,2289.84,1285.33,2048.81,1.56
32,39,02,2343.61,662.88,2251.78,1.33
34,19,02,2959.2,883.89,2841.36,1.32
30,59,02,2360.88,870.76,2220.29,1.42
38,9,02,2142.09,811.58,2018.73,1.4
31,49,02,807.1,469.22,714.68,1.62
105,34,03,2440.61,789.2,2309.5,1.4
101,74,03,2095.78,1093.2,1827.87,1.71
91,80,01,1637.79,798.01,1495.23,1.51
95,40,01,1838.59,724.29,1749.23,1.34
22,1,02,864.78,528.84,779.36,1.51
93,60,01,1986.84,1207.36,1681.74,1.78
96,30,01,1160.0,781.08,986.01,1.74
92,70,01,2255.91,1143.7,2036.99,1.54
35,106,01,1900.78,1055.41,1691.22,1.58
57,7,03,1461.72,794.52,1307.72,1.57
90,90,01,461.66,384.07,319.53,2.54
94,50,01,1646.37,714.62,1527.42,1.45
66,100,03,1209.61,574.82,1096.57,1.55
40,68,01,1277.7,929.81,1036.97,1.91
43,38,01,329.32,234.22,282.69,1.74
44,28,01,748.99,559.31,620.93,1.79
67,50,01,2494.12,1411.38,2297.57,1.43
68,40,01,1206.74,806.22,1041.16,1.68
49,99,03,1610.61,805.76,1456.15,1.55
65,70,01,1956.41,1012.72,1761.96,1.56
42,48,01,1520.44,977.73,1313.01,1.68
69,30,01,1104.8,680.98,991.81,1.53
90,103,03,876.79,478.1,782.96,1.59
40,1,02,2027.87,890.23,1883.8,1.44
64,80,01,759.87,594.66,587.34,2.06
64,9,03,1613.34,931.89,1402.57,1.71
29,51,02,772.08,476.45,650.48,1.84
45,18,01,2602.49,971.17,2446.9,1.42
7,76,02,2128.26,850.39,1989.69,1.44
47,43,01,1236.04,711.98,1085.66,1.65
104,55,01,2557.07,1046.22,2392.57,1.42
105,45,01,1701.69,675.09,1596.44,1.41
45,63,01,458.36,530.47,301.94,2.6
100,95,01,1517.33,1117.31,1195.59,2.0
57,9,01,1289.12,746.37,1144.73,1.59
42,93,01,647.73,488.77,560.25,1.61
103,65,01,2261.25,957.42,2095.79,1.46
93,101,02,1512.58,804.44,1349.16,1.6
46,53,01,1541.92,910.55,1362.21,1.61
107,25,01,1387.08,947.78,1147.11,1.83
100,2,01,2442.49,1007.56,2251.65,1.5
27,71,02,1271.09,642.16,1145.16,1.56
44,73,01,2228.54,1032.76,2046.69,1.49
102,75,01,1284.3,854.54,1098.97,1.72
63,90,01,2690.3,1423.12,2401.16,1.59
28,61,02,1870.25,820.16,1730.49,1.46
101,85,01,1191.5,741.38,1050.79,1.61
51,91,03,2370.45,640.59,2285.63,1.31
53,71,03,949.2,732.0,780.44,1.83
57,31,03,2071.18,1352.18,1794.55,1.66
43,83,01,1892.08,912.44,1699.66,1.58
106,35,01,2343.31,1347.66,2079.49,1.58
59,11,03,2872.41,815.91,2771.51,1.3
6,86,02,2401.45,1470.88,2120.95,1.59
52,81,03,2348.99,1149.46,2139.51,1.51
91,35,01,2912.67,1723.83,2587.79,1.57
90,45,01,1659.45,925.19,1478.09,1.6
92,25,01,1598.14,1091.98,1314.53,1.85
26,81,02,1748.71,1097.14,1531.75,1.63
93,15,01,1501.66,917.99,1318.09,1.62
77,20,03,1580.99,863.77,1431.07,1.53
71,80,03,248.67,307.2,162.18,2.44
66,60,01,1207.37,979.25,970.47,1.91
106,62,01,1465.51,857.77,1250.94,1.8
103,92,01,1909.39,1050.84,1747.62,1.47
72,70,03,2113.15,1091.53,1904.04,1.55
107,52,01,1573.6,759.28,1444.44,1.49
104,82,01,2184.89,888.42,2039.61,1.43
89,2,03,2029.0,980.94,1863.92,1.47
69,6,01,1652.49,713.29,1528.59,1.47
70,90,03,867.03,521.74,746.37,1.77
106,80,01,1112.42,791.49,945.49,1.72
105,90,01,3358.87,1104.14,3198.45,1.36
25,91,02,2088.74,1029.8,1867.69,1.61
107,70,01,1921.73,902.97,1758.92,1.5
75,40,03,1346.25,906.43,1158.39,1.69
56,41,03,2113.17,1022.47,1905.13,1.57
105,72,01,2175.35,658.28,2082.43,1.34
73,60,03,1816.53,1111.33,1574.51,1.68
9,56,02,1737.38,989.67,1552.31,1.58
102,106,03,256.4,360.92,159.04,2.47
30,3,01,1994.6,809.53,1877.99,1.39
17,73,01,1240.83,625.91,1124.46,1.55
65,102,02,1309.36,810.47,1129.1,1.71
19,53,01,1444.69,737.83,1299.79,1.57
84,41,02,2132.33,1006.56,1946.92,1.51
15,93,01,918.18,536.59,834.72,1.48
5,96,02,2397.5,1135.23,2156.5,1.61
82,61,02,301.25,287.42,231.45,2.02
76,30,03,2348.65,1256.25,2063.4,1.66
80,81,02,508.78,410.29,409.16,1.9
81,71,02,600.14,456.51,515.96,1.67
78,6,01,3792.13,1115.23,3630.81,1.34
87,11,02,2805.28,1209.23,2587.5,1.48
57,33,01,1469.42,683.96,1311.39,1.64
55,53,01,1960.39,1012.08,1758.75,1.58
59,13,01,2479.19,868.87,2336.96,1.41
53,73,01,1518.06,959.46,1319.1,1.66
12,2,02,912.17,508.69,827.48,1.5
90,70,03,778.74,499.78,667.37,1.76
93,40,03,2603.56,1434.99,2259.39,1.71
91,60,03,1785.75,1076.22,1551.56,1.67
92,50,03,1427.08,1095.92,1102.0,2.06
106,26,01,2426.21,1195.56,2202.45,1.53
105,36,01,1759.62,752.99,1642.78,1.42
102,66,01,1770.04,949.04,1583.6,1.58
104,46,01,2848.93,1408.25,2605.49,1.49
100,86,01,1192.85,879.94,1006.06,1.74
96,10,03,3396.24,1312.33,3196.58,1.4
103,91,02,516.5,404.78,371.25,2.64
101,76,01,1256.67,591.41,1163.64,1.46
107,51,02,2135.39,1025.12,1907.99,1.61
94,30,03,1734.73,754.59,1598.89,1.51
106,61,02,1646.02,851.87,1478.44,1.58
104,81,02,1528.55,790.55,1385.47,1.53
106,104,01,1191.76,647.98,1080.16,1.52
3,6,01,587.35,545.75,365.98,2.94
46,60,03,1967.59,1135.03,1715.44,1.68
45,70,03,2570.47,1099.13,2386.71,1.45
24,107,02,2514.83,1264.27,2270.83,1.55
48,40,03,371.36,352.76,274.88,2.21
26,82,01,448.03,344.23,391.04,1.57
29,52,01,1621.36,700.64,1498.66,1.47
27,72,01,1825.99,894.75,1662.04,1.52
25,92,01,1461.46,1029.18,1200.31,1.84
28,62,01,1161.76,597.89,1061.78,1.5
49,30,03,1086.41,563.8,983.22,1.55
39,102,01,1946.74,1012.76,1719.8,1.65
40,2,01,1736.6,846.7,1591.24,1.49
43,90,03,1536.07,760.16,1386.21,1.59
9,82,03,996.14,544.98,889.57,1.58
8,92,03,3821.97,1691.75,3529.26,1.47
47,50,03,1471.05,834.03,1315.52,1.58
44,80,03,1943.78,994.25,1748.93,1.57
35,28,01,1844.47,1012.22,1630.57,1.64
33,48,01,807.59,532.2,663.39,1.86
36,18,01,816.13,481.95,725.39,1.59
30,78,01,2920.93,1357.22,2685.66,1.48
31,68,01,1411.27,575.78,1306.29,1.49
65,8,03,3987.22,1859.13,3646.83,1.5
42,106,03,1886.11,1074.03,1690.05,1.55
59,100,01,2853.35,1108.3,2664.58,1.44
69,88,03,1079.24,749.98,944.55,1.61
7,85,02,2939.91,1166.14,2740.16,1.45
9,65,02,1576.22,1015.53,1334.53,1.76
35,91,01,2474.46,867.5,2344.74,1.38
36,81,01,1597.14,911.08,1407.51,1.63
37,71,01,1170.07,806.23,1015.45,1.65
66,9,01,1308.91,540.55,1212.81,1.47
50,1,01,1253.36,676.44,1141.47,1.51
47,52,01,1735.33,777.56,1602.71,1.49
44,82,01,2171.16,1111.31,1959.52,1.54
48,42,01,1563.87,946.62,1358.35,1.67
43,92,01,1728.57,1008.29,1525.27,1.61
45,72,01,559.89,404.49,475.27,1.72
38,61,01,2442.15,690.05,2358.3,1.29
49,32,01,2603.9,918.5,2449.61,1.42
46,62,01,1549.16,984.9,1376.13,1.57
19,104,01,2676.87,1046.68,2531.97,1.37
36,105,01,2057.85,955.1,1891.54,1.48
102,56,02,1491.97,691.61,1355.8,1.55
105,26,02,1555.72,714.4,1436.33,1.47
101,66,02,1574.47,864.01,1384.11,1.69
100,76,02,780.67,415.03,712.55,1.49
103,46,02,3015.64,940.81,2885.76,1.34
34,64,02,776.43,450.9,633.32,2.13
36,44,02,2396.42,1002.19,2237.04,1.43
38,24,02,2607.69,1010.01,2435.52,1.44
37,34,02,1438.12,661.97,1317.97,1.5
104,36,02,2864.84,927.99,2715.52,1.39
85,100,02,1796.91,842.78,1633.64,1.54
76,6,03,2678.32,1208.08,2446.75,1.52
42,64,03,494.99,447.69,402.88,1.75
45,34,03,2089.43,911.39,1915.08,1.52
40,84,03,1538.08,935.86,1303.67,1.81
47,14,03,3745.63,1257.01,3563.71,1.36
71,104,03,2162.85,958.67,1942.85,1.71
76,100,02,1073.94,634.72,944.57,1.65
48,31,03,1692.55,1185.64,1461.75,1.67
42,91,03,2641.2,1110.19,2458.2,1.44
45,61,03,1463.0,793.45,1302.82,1.64
3,4,03,509.59,427.56,371.25,2.3
75,102,01,1428.61,977.24,1202.38,1.76
46,24,03,381.03,377.33,293.23,1.92
43,81,03,1800.71,1095.21,1562.66,1.67
17,64,01,1215.3,527.37,1119.44,1.51
15,84,01,1685.05,1158.92,1387.19,1.86
1,50,01,2018.25,975.35,1824.72,1.57
2,40,01,2405.13,1253.46,2175.4,1.54
24,48,01,1197.52,952.01,991.07,1.76
26,28,01,1422.98,857.08,1252.37,1.61
19,44,01,188.49,342.18,80.1,3.83
22,68,01,1019.7,792.37,836.88,1.82
5,10,01,2747.3,992.79,2583.62,1.44
44,71,03,2005.57,841.92,1866.21,1.44
27,18,01,1868.87,876.93,1711.63,1.5
49,100,02,1506.76,670.64,1379.56,1.54
3,30,01,2252.09,903.02,2105.03,1.44
25,38,01,1144.35,665.14,1001.22,1.65
43,54,03,1422.24,567.95,1327.0,1.44
47,41,03,2947.21,960.94,2816.73,1.34
34,105,03,2522.69,1301.22,2278.33,1.53
88,96,03,1555.14,983.97,1328.2,1.72
89,86,03,1225.66,781.3,1046.91,1.72
27,81,01,1891.18,1051.97,1667.74,1.63
41,1,01,2168.32,603.58,2085.07,1.33
55,102,03,2010.31,1006.83,1823.18,1.54
26,91,01,2577.06,878.75,2444.44,1.38
90,25,03,1444.77,744.29,1293.82,1.59
28,71,01,1627.03,913.83,1470.78,1.52
19,9,03,1836.95,808.53,1706.95,1.44
91,15,03,2318.81,1160.96,2102.19,1.53
29,61,01,1924.52,843.06,1783.35,1.45
44,44,03,477.69,649.4,157.32,4.77
20,88,01,1169.08,557.02,1037.16,1.69
32,84,02,3162.56,1197.91,2945.04,1.47
48,100,03,1393.97,874.94,1173.88,1.81
39,14,02,2826.24,912.77,2688.98,1.37
39,101,02,1960.25,1034.78,1746.51,1.61
6,1,03,437.67,453.39,333.02,1.96
92,43,01,1856.61,1154.39,1611.07,1.65
90,63,01,2318.45,1641.42,1983.55,1.67
44,81,02,1603.5,1080.85,1348.09,1.76
91,53,01,2048.88,1152.01,1804.59,1.63
90,34,03,3040.66,1309.5,2825.41,1.45
91,24,03,3097.1,1251.5,2874.01,1.47
78,5,02,2736.12,899.76,2632.94,1.3
92,14,03,2120.54,871.91,1977.54,1.44
61,29,01,1897.37,851.38,1749.67,1.47
60,39,01,611.36,532.0,494.0,1.86
107,8,03,3434.31,1150.94,3282.04,1.34
62,19,01,1997.29,1002.31,1791.3,1.58
47,51,02,1299.41,606.36,1185.81,1.53
69,5,02,1773.72,762.9,1651.5,1.44
76,41,01,741.0,439.69,640.41,1.73
77,31,01,1463.82,921.65,1271.1,1.66
13,75,03,1955.08,1269.64,1727.15,1.57
73,71,01,577.37,550.71,388.09,2.77
19,15,03,1661.5,785.03,1527.77,1.48
71,91,01,1712.82,798.8,1578.27,1.47
12,85,03,2150.23,1122.78,1929.4,1.57
51,47,02,1436.15,589.96,1344.29,1.42
72,81,01,473.47,447.18,383.84,1.8
62,37,01,847.78,544.34,733.29,1.66
61,47,01,2584.54,1223.34,2358.43,1.52
64,17,01,1171.83,684.96,1049.43,1.57
79,11,01,1515.35,952.08,1314.07,1.66
15,55,03,629.07,403.0,552.56,1.61
60,57,01,560.06,591.67,337.08,3.18
45,71,02,883.11,591.44,749.9,1.76
63,27,01,1409.65,663.69,1296.56,1.48
14,65,03,3909.7,1612.42,3609.98,1.5
50,57,02,938.28,746.84,689.36,2.39
11,95,03,2498.76,1153.66,2262.61,1.56
44,26,03,2046.51,1020.17,1854.91,1.53
43,36,03,2766.99,1147.64,2563.56,1.47
2,22,01,1459.84,905.34,1219.06,1.86
3,12,01,1884.87,760.73,1765.16,1.42
96,4,03,2268.27,967.06,2098.2,1.47
16,45,03,2389.61,792.91,2274.78,1.37
42,46,03,127.54,254.52,65.91,2.63
61,36,03,389.68,415.36,274.42,2.33
60,46,03,1527.61,952.26,1335.8,1.64
9,83,02,1646.64,761.46,1512.32,1.49
40,66,03,1724.75,948.19,1531.0,1.61
65,24,02,1455.15,980.26,1251.52,1.69
62,26,03,1616.37,1062.86,1365.07,1.77
17,35,03,1086.21,658.27,943.23,1.74
45,16,03,2121.54,936.79,1944.5,1.52
64,34,02,554.4,457.45,416.66,2.26
42,57,01,2131.73,1131.29,1888.43,1.63
9,93,01,1345.87,725.75,1212.59,1.54
53,27,02,1285.78,990.91,1064.79,1.77
45,27,01,957.47,649.83,819.86,1.7
41,56,03,2862.57,1191.17,2631.84,1.51
9,75,01,1710.34,1111.48,1471.24,1.68
46,17,01,1173.25,590.67,1065.13,1.53
12,3,01,1519.76,527.73,1434.65,1.47
61,64,02,346.54,384.98,254.99,2.02
43,47,01,1160.1,620.15,1026.65,1.64
48,41,02,2875.91,1447.81,2579.99,1.58
8,93,02,2616.49,809.9,2502.7,1.34
40,77,01,1373.01,821.12,1206.28,1.63
63,44,02,1952.0,634.23,1868.82,1.33
49,31,02,891.79,495.71,770.84,1.75
46,61,02,213.19,229.71,158.09,2.09
103,38,01,1672.9,577.05,1599.28,1.33
101,58,01,1706.96,787.06,1565.16,1.5
53,106,01,1366.71,898.29,1161.19,1.74
84,102,01,991.3,734.45,824.11,1.78
104,28,01,2598.49,1172.75,2389.7,1.49
32,92,03,2735.64,1413.85,2508.3,1.47
39,22,03,424.06,487.33,283.55,2.37
32,107,03,2751.14,1069.7,2594.08,1.39
37,42,03,377.86,402.78,238.94,2.96
43,91,02,1897.97,811.6,1770.16,1.49
100,68,01,1342.78,923.81,1094.5,1.93
35,62,03,2021.83,962.04,1825.74,1.57
102,48,01,1541.61,922.7,1306.88,1.79
34,72,03,1890.89,760.31,1754.04,1.49
33,82,03,1500.98,756.09,1339.43,1.61
48,9,01,1205.25,734.76,1056.8,1.64
46,9,03,918.65,768.28,739.88,1.84
88,5,01,2158.34,1127.58,1953.68,1.53
14,107,03,3034.53,1212.43,2840.12,1.43
82,60,03,1471.48,1003.02,1232.68,1.8
84,40,03,1037.97,713.8,861.83,1.82
86,20,03,1532.88,1085.42,1343.72,1.58
3,10,03,1872.21,577.08,1798.48,1.32
1,30,03,2221.64,1033.33,2042.1,1.5
80,80,03,486.26,1118.74,151.69,3.93
81,70,03,2186.42,1090.52,1970.88,1.56
83,102,02,1208.5,752.78,1063.47,1.62
87,12,01,2568.85,1143.41,2362.1,1.51
82,62,01,1114.23,756.01,938.86,1.78
75,22,03,1212.11,760.91,1058.25,1.65
